name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,parfumo_url,parfumo_name,parfumo_brand,parfumo_rating,parfumo_rating_count,parfumo_notes,fragrantica_id,image_url,match_source,_processed
Eau de Memo Memo Paris,eaudememo-memo,2000000004884,Parfum,Labor sklad,359,2420,16000,Memo Paris,,Милллилитр,,,,,,,44229,https://fimgs.net/mdimg/perfume-social-cards/en-social-44229.jpeg,fragrantica,1
Le Beau Parfum 2025 Maison Francis Kurkdjian,lebeau-kurkdjian,2000000004877,Parfum,Labor sklad,354,2420,16000,Maison Francis Kurkdjian,,Милллилитр,,,,,,,106859,https://fimgs.net/mdimg/perfume-social-cards/en-social-106859.jpeg,fragrantica,1
Santal Volcanique Maison Crivelli,santalVolc-maison,2000000004860,Parfum,Labor sklad,200,2420,16000,Maison Crivelli,,Милллилитр,,,,,,,53871,https://fimgs.net/mdimg/perfume-social-cards/en-social-53871.jpeg,fragrantica,1
Safran Secret Maison Crivelli,safransecret-maison,2000000004853,Parfum,Labor sklad,206,2420,16000,Maison Crivelli,,Милллилитр,,,,,,,104728,https://fimgs.net/mdimg/perfume-social-cards/en-social-104728.jpeg,fragrantica,1
Fleur du Desert Louis Vuitton,fleurdesert-LV,2000000004846,Parfum,Labor sklad,151,2420,16000,Louis Vuitton,,Милллилитр,,,,,,,73006,https://fimgs.net/mdimg/perfume-social-cards/en-social-73006.jpeg,fragrantica,1
Sun Song (2025) Louis Vuitton,sunsong-LV,2000000004839,Parfum,Labor sklad,252,2420,16000,Louis Vuitton,,Милллилитр,,,,,,,107116,https://fimgs.net/mdimg/perfume-social-cards/en-social-107116.jpeg,fragrantica,1
Good Girl Gone Bad Extreme By Kilian,goodgirl-Extreme,2000000004822,Parfum,Labor sklad,220,2420,16000,Kilian,,Милллилитр,https://www.parfumo.com/Perfumes/Kilian/Good_girl_gone_Bad_Extreme,Good Girl Gone Bad Extreme,Kilian,8.1,88,"Top: May rose, Orange blossom | Mid: Egyptian jasmine sambac, Narcissus, Tuberose | Base: Caramel, Milk",,,parfumo_exact,1
Molecule 05 Escentric Molecules,molecule05,2000000004815,Parfum,Labor sklad,1,2420,16000,Escentric Molecules,,Милллилитр,,,,,,,58969,https://fimgs.net/mdimg/perfume-social-cards/en-social-58969.jpeg,fragrantica,1
Royal Mayfair Creed,royalMay-creed,2000000004808,Parfum,Labor sklad,186,2420,16000,Creed,,Милллилитр,,,,,,,31562,https://fimgs.net/mdimg/perfume-social-cards/en-social-31562.jpeg,fragrantica,1
Oud Zarian Creed,zarian-creed,2000000004792,Parfum,Labor sklad,128,2420,16000,Creed,,Милллилитр,,,,,,,111224,https://fimgs.net/mdimg/perfume-social-cards/en-social-111224.jpeg,fragrantica,1
Red Tea Vetiver Clive Christian,redtea-clive,2000000004785,Parfum,Labor sklad,126,2420,16000,Clive Christian,,Милллилитр,,,,,,,101977,https://fimgs.net/mdimg/perfume-social-cards/en-social-101977.jpeg,fragrantica,1
Opal Boadicea the Victorious,opal-boadicea,2000000004778,Parfum,Labor sklad,97,2420,16000,Boadicea the Victorious,,Милллилитр,https://www.parfumo.com/Perfumes/Boadicea_the_Victorious/1907,Boadicea the Victorious,Boadicea the Victorious,8,10,"Top: Cardamom, Cinnamon, Lemon, Pink pepper | Mid: Cashmere, Nutmeg, Sage, Violet | Base: Amber, Benzoin, Cedarwood, Moss, Musk, Tobacco, Tonka bean",,,parfumo_fuzzy_0.90,1
Drunk Lovers BORNTOSTANDOUT,drunklovers,2000000004761,Parfum,Labor sklad,172,2420,16000,BORNTOSTANDOUT,,Милллилитр,,,,,,,81882,https://fimgs.net/mdimg/perfume-social-cards/en-social-81882.jpeg,fragrantica,1
Diffuzor JOLY,диффузор-жоли,2000000004754,aroma diffizor,Uniderm,2,177870,250000,labor,,Штука,,,,,,,,,not_found,1
Diffuzor Black Vanilla,диффузор-ванил,2000000004747,aroma diffizor,Uniderm,3,177870,250000,labor,,Штука,,,,,,,46662,https://fimgs.net/mdimg/perfume-social-cards/en-social-46662.jpeg,fragrantica,1
Magnit flakon 10 ml,magnit10магнит,2000000004730,flakon,okiii_flakon,27,19965,20000,okiii,,Штука,,,,,,,50787,https://fimgs.net/mdimg/perfume-social-cards/en-social-50787.jpeg,fragrantica,1
Luna Rossa Carbon Prada,carbonprada,2000000004723,Parfum,Labor sklad,135,2420,16000,PRADA,,Милллилитр,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Carbon,Luna Rossa Carbon,Prada,7.8,1158,Top: NA | Mid: NA | Base: NA,,,parfumo_fuzzy_0.85,1
Boss Bottled Elixir Hugo Boss,elexirhugoboss,2000000004716,Parfum,Labor sklad,168,2420,16000,Hugo Boss,,Милллилитр,,,,,,,84074,https://fimgs.net/mdimg/perfume-social-cards/en-social-84074.jpeg,fragrantica,1
Boss Bottled Sport Hugo Boss,hugobossSport,2000000004709,Parfum,Labor sklad,141,2420,16000,Hugo Boss,,Милллилитр,,,,,,,14597,https://fimgs.net/mdimg/perfume-social-cards/en-social-14597.jpeg,fragrantica,1
Aqva Pour Homme Marine Bvlgari,aqua-bulgari,2000000004693,Parfum,Labor sklad,110,2420,16000,Bvlgari,,Милллилитр,https://www.parfumo.com/Perfumes/Bvlgari/Aqva_Pour_Homme_Marine_Toniq,Aqva pour Homme Marine Toniq,Bvlgari,6.8,29,"Top: Grapefruit, Pear | Mid: Neptune grass, Ice accord | Base: Sandalwood, White cedar",,,parfumo_fuzzy_0.83,1
Very Sexy Night Victoria's Secret,verysexy,2000000004686,Parfum,Labor sklad,72,2420,16000,Victoria's Secret,,Милллилитр,,,,,,,114424,https://fimgs.net/mdimg/perfume-social-cards/en-social-114424.jpeg,fragrantica,1
Allure Homme Sport Chanel,allursport,2000000004679,Parfum,Labor sklad,170,2420,16000,Chanel,,Милллилитр,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Cologne,Allure Homme Sport Cologne,Chanel,8.1,242,"Top: Sicilian mandarin orange | Mid: Lovage, Elemi resin | Base: White musk, Cedarwood, Amber",,,parfumo_fuzzy_0.86,1
J'adore Dior,jadori,2000000004662,Parfum,Labor sklad,91,2420,16000,Dior,,Милллилитр,https://www.parfumo.com/Perfumes/Dior/J_Adore_l_Or,J'adore L'Or,Dior,8.1,167,"Top: Jasmine, May rose | Mid: Tonka bean, Vanilla absolute | Base: Labdanum, Amber, Patchouli",,,parfumo_fuzzy_0.86,1
English Pear Jo Malone London,englishpear 2-jomalone,2000000004655,Parfum,Labor sklad,87,2420,16000,Jo Malone London,,Штука,,,,,,,10314,https://fimgs.net/mdimg/perfume-social-cards/en-social-10314.jpeg,fragrantica,1
Nice Bergamote Essential Parfums,nicebergamot,2000000004648,Parfum,Labor sklad,10,2420,16000,Essential Parfums,,Милллилитр,,,,,,,50789,https://fimgs.net/mdimg/perfume-social-cards/en-social-50789.jpeg,fragrantica,1
Halley Tiziana Terenzi,halley-tizano,2000000004631,Parfum,Labor sklad,373,2420,16000,Tiziana Terenzi,,Милллилитр,,,,,,,,,not_found,1
Patchouli Magnetik Maison Crivelli,patcholi-mc,2000000004624,Parfum,Labor sklad,191,2420,16000,Maison Crivelli,,Милллилитр,,,,,,,,,not_found,1
Purpose 50 Amouage,purpose50,2000000004617,Parfum,Labor sklad,170,2420,16000,Amouage,,Милллилитр,,,,,,,,,not_found,1
Red Tobacco Mancera,redtobac-mancera,2000000004600,Parfum,Labor sklad,80,2420,16000,Mancera,,Милллилитр,,,,,,,,,not_found,1
"Pink Pepper, Elemi, Cinnamon, Leather Zielinski & Rozen",pinkpepper-zr,2000000004594,Parfum,Labor sklad,175,2420,16000,Zielinski & Rozen,,Милллилитр,https://www.parfumo.com/Perfumes/zielinski-rozen/pink-pepper-elemi-cinnamon-leather,"Pink Pepper, Elemi, Cinnamon, Leather",Zielinski & Rozen,NA,NA,Top: NA | Mid: NA | Base: NA,,,parfumo_fuzzy_0.81,1
Althair Parfums de Marly,alhair-marly,2000000004570,Parfum,Labor sklad,97,2420,16000,Parfums de Marly,,Милллилитр,,,,,,,,,not_found,1
Florentine Iris Ermenegildo Zegna,florentine-iris,2000000004563,Parfum,Labor sklad,155,2420,16000,Ermenegildo Zegna,,Милллилитр,,,,,,,,,not_found,1
Fierce Abercrombie & Fitch,fierce-af,2000000004556,Parfum,Labor sklad,460,2420,16000,Abercrombie & Fitch,,Милллилитр,https://www.parfumo.com/Perfumes/Abercrombie_Fitch/1892,Abercrombie & Fitch,Abercrombie & Fitch,7,2,Top: NA | Mid: NA | Base: NA,,,parfumo_fuzzy_0.83,1
Aqua Celestia Maison Francis Kurkdjian,celestia-kurk,2000000004549,Parfum,Labor sklad,330,2420,16000,Maison Francis Kurkdjian,,Милллилитр,,,,,,,,,,
Oud for Greatness Neo Initio Parfums Prives,greatneo-initio,2000000004532,Parfum,Labor sklad,125,2420,16000,INITIO,,Милллилитр,,,,,,,,,,
Hanuman Boadicea the Victorious,hanuman-bv,2000000004525,Parfum,Labor sklad,230,2420,16000,Boadicea the Victorious,,Милллилитр,,,,,,,,,,
Blue Heart Thameen,blueheart,2000000004518,Parfum,Labor sklad,537,2420,16000,Thameen,,Милллилитр,,,,,,,,,,
Ganymede Extrait Marc-Antoine Barrois,ganymadeXXX,2000000004501,Parfum,Labor sklad,350,2420,16000,Marc-Antoine Barrois,,Милллилитр,,,,,,,,,,
Jazz Club Maison Martin Margiela,jazzclub-mmm,2000000004495,Parfum,Labor sklad,335,2420,16000,Maison Margiela,,Милллилитр,,,,,,,,,,
Oud Wood Tom Ford,oud-tomford,2000000004488,Parfum,Labor sklad,225,2420,16000,Tom Ford,,Милллилитр,,,,,,,,,,
Meteore Louis Vuitton,meteore-lv,2000000004471,Parfum,Labor sklad,76,2420,16000,Louis Vuitton,,Милллилитр,,,,,,,,,,
Not A Perfume Juliette Has A Gun,notaperfume,2000000004464,Parfum,Labor sklad,145,2420,16000,Juliette Has A Gun,,Милллилитр,,,,,,,,,,
Jump Up And Kiss Me Hedonistic (2021) Clive Christian,hedonistic-clive,2000000004457,Parfum,Labor sklad,235,2420,60000,Clive Christian,,Милллилитр,,,,,,,,,,
Escentric 02 Escentric Molecules,escentric02,2000000004440,Parfum,Labor sklad,530,2420,16000,Escentric Molecules,,Милллилитр,,,,,,,,,,
Torino22 Xerjoff,torino22,2000000004433,Parfum,Labor sklad,725,2420,16000,XERJOFF,,Милллилитр,,,,,,,,,,
SAVON krem milo Relax 500 gr,relax500,4780071940783,Жидкое Мыло,Uniderm,0,13552,25000,Sofderm,,Штука,,,,,,,,,,
SAVON krem milo Thermal Spa 500 gr,spa500,4780071940752,Жидкое Мыло,Uniderm,1,13552,25000,Sofderm,,Штука,,,,,,,,,,
SAVON krem milo Natural 500 gr,natural500,4780071940776,Жидкое Мыло,Uniderm,0,13552,25000,Sofderm,,Штука,,,,,,,,,,
SAVON krem milo Romance 500 gr,romance500,4780071940745,Жидкое Мыло,Uniderm,1,13552,25000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Blue 400 ml,blue400,4780071940301,Antiseptik,Uniderm,5,42229,60000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Melon 400 ml,melon400,4780071940349,Antiseptik,Uniderm,5,42229,60000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Crystal 400 ml,crystal400,4780071940325,Antiseptik,Uniderm,6,42229,60000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Citiboy 400 ml,citiboy400,4780071940318,Antiseptik,Uniderm,1,42229,60000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Blue 100 ml,blue100,4780071940202,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Melon 100 ml,melon100,4780071940240,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Fleur 100 ml,fleur100,4780071940233,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Crystal 100 ml,crystal100,4780071940226,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Citiboy 100 ml,citiboy100,4780071940219,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,,,,,,,,,
Antiseptik Sofderm Extra 50 ml,антисептик50,4780071940530,Antiseptik,Uniderm,15,8349,15000,Sofderm,,Штука,,,,,,,,,,
Love Don't Be Shy By Kilian,beshy-kilian,2000000004426,Parfum,Labor sklad,610,2420,16000,Kilian,,Милллилитр,,,,,,,,,,
Mefisto Gentiluomo Xerjoff,gentiluomo-xerjoff,2000000004419,Parfum,Labor sklad,244,2420,16000,Casa Tito,,Милллилитр,,,,,,,,,,
Bergamask Orto Parisi,bergamask-orto,2000000004402,Parfum,Labor sklad,375,2420,16000,Orto Parisi,,Милллилитр,,,,,,,,,,
The Muse ZARKOPERFUME,themuse-zarko,2000000004396,Parfum,Labor sklad,117,2420,16000,Zarkoperfume,,Милллилитр,,,,,,,,,,
Paragon Initio Parfums Prives,paragon-initio,2000000004389,Parfum,Labor sklad,150,2420,16000,INITIO,,Милллилитр,,,,,,,,,,
Lamar Kajal,lamar-kajal,2000000004372,Parfum,Labor sklad,265,2420,16000,Kajal,,Милллилитр,,,,,,,,,,
