name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,fragrantica_id,_processed
Diffuzor JOLY,диффузор-жоли,2000000004754,aroma diffizor,Uniderm,2,177870,250000,labor,,Штука,,1
Diffuzor Black Vanilla,диффузор-ванил,2000000004747,aroma diffizor,Uniderm,3,177870,250000,labor,,Штука,46662,1
Magnit flakon 10 ml,magnit10магнит,2000000004730,flakon,okiii_flakon,27,19965,20000,okiii,,Штука,107428,1
Luna Rossa Carbon Prada,carbonprada,2000000004723,Parfum,Labor sklad,135,2420,16000,PRADA,,Милллилитр,127045,1
Boss Bottled Elixir Hugo Boss,elexirhugoboss,2000000004716,Parfum,Labor sklad,168,2420,16000,Hugo Boss,,Милллилитр,84074,1
Boss Bottled Sport Hugo Boss,hugobossSport,2000000004709,Parfum,Labor sklad,141,2420,16000,Hugo Boss,,Милллилитр,14597,1
Aqva Pour Homme Marine Bvlgari,aqua-bulgari,2000000004693,Parfum,Labor sklad,110,2420,16000,Bvlgari,,Милллилитр,1742,1
Very Sexy Night Victoria's Secret,verysexy,2000000004686,Parfum,Labor sklad,72,2420,16000,Victoria's Secret,,Милллилитр,114424,1
Allure Homme Sport Chanel,allursport,2000000004679,Parfum,Labor sklad,170,2420,16000,Chanel,,Милллилитр,607,1
J'adore Dior,jadori,2000000004662,Parfum,Labor sklad,91,2420,16000,Dior,,Милллилитр,210,1
English Pear Jo Malone London,englishpear 2-jomalone,2000000004655,Parfum,Labor sklad,87,2420,16000,Jo Malone London,,Штука,10314,1
Nice Bergamote Essential Parfums,nicebergamot,2000000004648,Parfum,Labor sklad,10,2420,16000,Essential Parfums,,Милллилитр,50789,1
Halley Tiziana Terenzi,halley-tizano,2000000004631,Parfum,Labor sklad,373,2420,16000,Tiziana Terenzi,,Милллилитр,55007,1
Patchouli Magnetik Maison Crivelli,patcholi-mc,2000000004624,Parfum,Labor sklad,191,2420,16000,Maison Crivelli,,Милллилитр,71759,1
Purpose 50 Amouage,purpose50,2000000004617,Parfum,Labor sklad,170,2420,16000,Amouage,,Милллилитр,100897,1
Red Tobacco Mancera,redtobac-mancera,2000000004600,Parfum,Labor sklad,80,2420,16000,Mancera,,Милллилитр,46663,1
"Pink Pepper, Elemi, Cinnamon, Leather Zielinski & Rozen",pinkpepper-zr,2000000004594,Parfum,Labor sklad,175,2420,16000,Zielinski & Rozen,,Милллилитр,108569,1
Althair Parfums de Marly,alhair-marly,2000000004570,Parfum,Labor sklad,97,2420,16000,Parfums de Marly,,Милллилитр,84109,1
Florentine Iris Ermenegildo Zegna,florentine-iris,2000000004563,Parfum,Labor sklad,155,2420,16000,Ermenegildo Zegna,,Милллилитр,16189,1
Fierce Abercrombie & Fitch,fierce-af,2000000004556,Parfum,Labor sklad,460,2420,16000,Abercrombie & Fitch,,Милллилитр,3508,1
Aqua Celestia Maison Francis Kurkdjian,celestia-kurk,2000000004549,Parfum,Labor sklad,330,2420,16000,Maison Francis Kurkdjian,,Милллилитр,42268,1
Oud for Greatness Neo Initio Parfums Prives,greatneo-initio,2000000004532,Parfum,Labor sklad,125,2420,16000,INITIO,,Милллилитр,93090,1
Hanuman Boadicea the Victorious,hanuman-bv,2000000004525,Parfum,Labor sklad,230,2420,16000,Boadicea the Victorious,,Милллилитр,35525,1
Blue Heart Thameen,blueheart,2000000004518,Parfum,Labor sklad,537,2420,16000,Thameen,,Милллилитр,75055,1
Ganymede Extrait Marc-Antoine Barrois,ganymadeXXX,2000000004501,Parfum,Labor sklad,350,2420,16000,Marc-Antoine Barrois,,Милллилитр,79632,1
Jazz Club Maison Martin Margiela,jazzclub-mmm,2000000004495,Parfum,Labor sklad,335,2420,16000,Maison Margiela,,Милллилитр,20541,1
Oud Wood Tom Ford,oud-tomford,2000000004488,Parfum,Labor sklad,225,2420,16000,Tom Ford,,Милллилитр,1826,1
Meteore Louis Vuitton,meteore-lv,2000000004471,Parfum,Labor sklad,76,2420,16000,Louis Vuitton,,Милллилитр,62251,1
Not A Perfume Juliette Has A Gun,notaperfume,2000000004464,Parfum,Labor sklad,145,2420,16000,Juliette Has A Gun,,Милллилитр,10296,1
Jump Up And Kiss Me Hedonistic (2021) Clive Christian,hedonistic-clive,2000000004457,Parfum,Labor sklad,235,2420,60000,Clive Christian,,Милллилитр,70767,1
Escentric 02 Escentric Molecules,escentric02,2000000004440,Parfum,Labor sklad,530,2420,16000,Escentric Molecules,,Милллилитр,,1
Torino22 Xerjoff,torino22,2000000004433,Parfum,Labor sklad,725,2420,16000,XERJOFF,,Милллилитр,,1
SAVON krem milo Relax 500 gr,relax500,4780071940783,Жидкое Мыло,Uniderm,0,13552,25000,Sofderm,,Штука,,1
SAVON krem milo Thermal Spa 500 gr,spa500,4780071940752,Жидкое Мыло,Uniderm,1,13552,25000,Sofderm,,Штука,,1
SAVON krem milo Natural 500 gr,natural500,4780071940776,Жидкое Мыло,Uniderm,0,13552,25000,Sofderm,,Штука,,1
SAVON krem milo Romance 500 gr,romance500,4780071940745,Жидкое Мыло,Uniderm,1,13552,25000,Sofderm,,Штука,,1
Antiseptik Sofderm Blue 400 ml,blue400,4780071940301,Antiseptik,Uniderm,5,42229,60000,Sofderm,,Штука,,1
Antiseptik Sofderm Melon 400 ml,melon400,4780071940349,Antiseptik,Uniderm,5,42229,60000,Sofderm,,Штука,,1
Antiseptik Sofderm Crystal 400 ml,crystal400,4780071940325,Antiseptik,Uniderm,6,42229,60000,Sofderm,,Штука,,1
Antiseptik Sofderm Citiboy 400 ml,citiboy400,4780071940318,Antiseptik,Uniderm,1,42229,60000,Sofderm,,Штука,,1
Antiseptik Sofderm Blue 100 ml,blue100,4780071940202,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,1
Antiseptik Sofderm Melon 100 ml,melon100,4780071940240,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,1
